Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,% Imputed
2018,TELEPERFORMANCE SE,France,Activities auxiliary to financial intermediation (67),-1.09%,-10.05%,-55232974,-48590497,-11456,-646758,-151520,-2061,-3661,-5828063,1042,2.00%
2018,SGS SA,Switzerland,Activities auxiliary to financial intermediation (67),-0.81%,-5.31%,-55143250,-50727341,-11763,-673791,-157783,-2131,-3489,-3567524,571,0.00%
2018,INTERTEK GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-1.53%,-9.38%,-54677862,-53489006,-12428,-711263,-166744,-2244,-3428,-293207,458,1.00%
2018,APPLUS SERVICES SA,Spain,Activities auxiliary to financial intermediation (67),-2.26%,-35.02%,-43298590,-18912678,-4652,-249594,-58535,-811,-3850,-24069048,578,2.00%
2018,BUREAU VERITAS SA,France,Activities auxiliary to financial intermediation (67),-0.56%,-4.40%,-30862191,-30189038,-7276,-402067,-94143,-1298,-3953,-165542,1126,3.00%
2018,THOMSON REUTERS CORP,Canada,Activities auxiliary to financial intermediation (67),-0.55%,-4.08%,-30420679,-24969269,-7800,-339439,-79427,-1281,-194781,-4835062,6380,6.00%
2018,SAGA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-2.59%,-11.19%,-28371092,-27754833,-6407,-369092,-86530,-1161,-1053,-152156,140,1.00%
2018,RELX PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.26%,-1.02%,-25205768,-23929648,-5996,-317928,-74511,-1044,-9169,-868695,1224,5.00%
2018,CHINA PACIFIC INSURANCE (GROUP) COMPANY LIMITED,China,Activities auxiliary to financial intermediation (67),-0.04%,-0.48%,-22228620,-21714912,-4476,-264529,-60836,-820,-74336,-106967,-1743,19.00%
2018,RANDSTAD NV,Netherlands,Activities auxiliary to financial intermediation (67),-0.08%,-2.03%,-21121606,-20063296,-6617,-261507,-60285,-1064,-30725,-704473,6361,15.00%
2018,DKSH HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),-0.18%,-8.64%,-20848307,-19832721,-4810,-262305,-61183,-858,-5902,-681495,967,1.00%
2018,CAPITA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.40%,-4.21%,-19869242,-19434235,-4718,-258297,-60543,-834,-4795,-106459,640,3.00%
2018,STANTEC INCORPORATED,Canada,Activities auxiliary to financial intermediation (67),-0.58%,-7.66%,-14360819,-11907570,-3657,-161655,-37831,-604,-87064,-2165290,2852,5.00%
2018,VIENNA INSURANCE GROUP,Austria,Activities auxiliary to financial intermediation (67),-0.10%,-2.98%,-11254420,-11019670,-2731,-138899,-32334,-472,-3913,-56846,446,1.00%
2018,EXPERIAN PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.24%,-0.99%,-11161024,-10916123,-2687,-145061,-34000,-472,-3343,-59784,446,4.00%
2018,WOLTERS KLUWER NV,Netherlands,Activities auxiliary to financial intermediation (67),-0.19%,-0.95%,-9187758,-8738222,-2361,-115262,-26840,-405,-5497,-300310,1138,8.00%
2018,S&P GLOBAL INC,United States,Activities auxiliary to financial intermediation (67),-0.13%,-0.28%,-7906752,-7731902,-2598,-103021,-24018,-414,-5059,-42213,2473,19.00%
2018,LONDON STOCK EXCHANGE GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.23%,-0.67%,-6137010,-5980297,-1517,-79442,-18618,-263,-2613,-54609,349,6.00%
2018,HONG KONG EXCHANGES AND CLEARING LIMITED,Hong Kong,Activities auxiliary to financial intermediation (67),-0.30%,-0.46%,-5529594,-5408517,-1363,-71163,-16659,-235,-2612,-29292,246,4.00%
2018,RICARDO PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-1.13%,-11.83%,-5458667,-5339876,-1248,-71002,-16645,-225,-465,-29269,62,1.00%
2018,ASX LIMITED,Australia,Activities auxiliary to financial intermediation (67),-0.62%,-0.94%,-4407189,-4310435,-1045,-57183,-13378,-185,-1584,-23524,145,3.00%
2018,BALOISE HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),-0.06%,-0.77%,-4387738,-4291399,-1149,-56181,-12980,-199,-3601,-22820,590,6.00%
2018,UNIQA INSURANCE GROUP AG,Austria,Activities auxiliary to financial intermediation (67),-0.04%,-0.91%,-2624080,-2572556,-710,-29801,-6854,-115,-2255,-12046,257,2.00%
2018,JSE LIMITED,South Africa,Activities auxiliary to financial intermediation (67),-1.60%,N/A,-2455967,-2402073,-547,-31823,-7445,-100,-881,-13091,-6,1.00%
2018,HELVETIA HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),-0.02%,-0.40%,-2216174,-2166559,-717,-27634,-6226,-117,-4759,-10941,780,12.00%
2018,AF POYRY AB,Sweden,Activities auxiliary to financial intermediation (67),-0.13%,-1.56%,-2115702,-2068003,-636,-26385,-6050,-108,-4530,-10634,643,10.00%
2018,PAGEGROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.10%,-1.11%,-2013163,-1967899,-558,-26105,-6115,-92,-1897,-10751,253,11.00%
2018,BURSA MALAYSIA BHD,Malaysia,Activities auxiliary to financial intermediation (67),-1.58%,-2.93%,-1998283,-1949360,-458,-25654,-6009,-82,-181,-16560,22,1.00%
2018,ASSYSTEM SA,France,Activities auxiliary to financial intermediation (67),-0.23%,-3.94%,-1164020,-1138425,-295,-15193,-3551,-51,-366,-6243,104,7.00%
2018,JAPAN EXCHANGE GROUP INC,Japan,Activities auxiliary to financial intermediation (67),-0.08%,-0.14%,-898638,-878338,-294,-11750,-2737,-46,-903,-4812,243,18.00%
2018,MCMILLAN SHAKESPEARE LTD,Australia,Activities auxiliary to financial intermediation (67),-0.14%,-0.55%,-537523,-525239,-152,-6908,-1604,-25,-852,-2821,78,11.00%
2018,BOLSAS Y MERCADOS ESPANOLES SHMSF SA,Spain,Activities auxiliary to financial intermediation (67),-0.15%,-0.27%,-524241,-512332,-177,-6458,-1517,-26,-706,-3130,106,16.00%
2018,B3 SA BRASIL BOLSA BALCAO,Brazil,Activities auxiliary to financial intermediation (67),0.05%,0.09%,577291,563271,153,9028,2117,28,-920,3724,-110,20.00%
2018,AVIVA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.04%,N/A,8782133,8609784,741,115277,27088,246,-21521,47646,2872,20.00%
2018,SEMBCORP INDUSTRIES LIMITED,Singapore,Activities of membership organisation n.e.c. (91),-95.89%,-2189.27%,-8227816563,-7116396013,-1853987,-92227165,-21739790,-298881,-1815342,-993437521,-47864,1.00%
2018,MYTILINEOS HOLDINGS S.A.,Greece,Activities of membership organisation n.e.c. (91),-376.27%,-2955.54%,-6576092035,-1301988839,-315150,-17340109,-4066610,-55840,-613,-5252366239,41363,0.00%
2018,ENKA INSAAT VE SANAYI A.S.,Turkey,Activities of membership organisation n.e.c. (91),-121.03%,-578.57%,-3181138672,-2941011636,-662466,-34434547,-8066828,-113463,-2713110,-193924340,-212281,18.00%
2018,AYALA CORPORATION,Philippines,Activities of membership organisation n.e.c. (91),-49.60%,-275.57%,-2599254823,-2516419819,-571797,-32975542,-7730568,-103543,-1108817,-40315502,-29236,2.00%
2018,3M COMPANY,United States,Activities of membership organisation n.e.c. (91),-7.10%,-34.95%,-2326851406,-2057993678,-471879,-27428852,-6390857,-85804,-33282,-234457260,10206,0.00%
2018,ALFA SAB DE CV,Mexico,Activities of membership organisation n.e.c. (91),-8.28%,-109.80%,-1544851032,-1346116434,-308275,-17902538,-4197241,-56063,-3727,-176267646,891,0.00%
2018,ABOITIZ EQUITY VENTURES INC.,Philippines,Activities of membership organisation n.e.c. (91),-23.11%,-110.30%,-823526227,-801992150,-180905,-10331629,-2421911,-32568,-754090,-7793091,-19883,4.00%
